(135, 5, 1)
(40, 5, 6)
(20, 5, 11)
(66, 5, 1)                                                                                                              
(45, 5, 6)                                                                                                              
(57, 5, 11)                                                                                                             
(47, 5, 16)                                                                                                             
(67, 5, 21)                                                                                                             
(91, 5, 26)                                                                                                             
(315, 5, 31)                                                                                                            
(25, 5, 36)                                                                                                             
(439, 5, 41)                                                                                                            
(144, 5, 46)
(287, 10, 1)                                                                                                                         
(43, 10, 6)                                                                                                                          
(36, 10, 11)                                                                                                                         
(46, 10, 16)                                                                                                                         
(89, 10, 21)                                                                                                                         
(79, 10, 26)                                                                                                                         
(65, 10, 31)                                                                                                                         
(60, 10, 36)                                                                                  
(47, 10, 41)                                                                                                                         
(163, 10, 46)                                                                                                                        
(91, 10, 51)                                                                                                                         
(28, 10, 56)                                                                                                                         
(22, 10, 61)                                                                                                                         
(22, 10, 66)                                                                                                                         
(24, 10, 71)
(260, 15, 1)                                                                                                            
(35, 15, 6)                                                                                                             
(38, 15, 11)                                                                                                            
(46, 15, 16)                                                                                                            
(24, 15, 21)                                                                                                            
(36, 15, 26)                                                                                                            
(37, 15, 31)                                                                                                            
(36, 15, 36)                                                                                                            
(36, 15, 41)                                                     
(64, 15, 46)                                                                                                            
(21, 15, 51)                                                                                                            
(78, 15, 56)                                                                                                            
(34, 15, 61)                                                                                                            
(47, 15, 66)                                                                                                            
(47, 15, 71)                                                                                                            
(45, 15, 76)                                                                                                            
(47, 15, 81)                                                                                                            
(54, 15, 86)
(114, 20, 1)                                                                                                            
(309, 20, 6)                                                                                                            
(32, 20, 11)                                                                                                            
(31, 20, 16)                                                                                                            
(38, 20, 21)
(39, 20, 26)
(37, 20, 31)
(36, 20, 36)
(36, 20, 41)
(64, 20, 46)
(21, 20, 51)
(78, 20, 56)
(34, 20, 61) 
(114, 25, 1)                                                                                                            
(309, 25, 6)                                                                                                            
(32, 25, 11)                                                                                                            
(31, 25, 16)                                                                                                            
(38, 25, 21)
(36, 25, 26)
(41, 25, 31)
(36, 25, 36)
(32, 25, 41)
(64, 25, 46)
(43, 25, 51)
(78, 25, 56)
(34, 25, 61)
(77, 50, 1)
(120, 50, 6)
(49, 50, 11)
(40, 50, 16)
(39, 50, 21)
(39, 50, 26)
(41, 50, 31)
(46, 50, 36)
(32, 50, 41)
(53, 50, 46)
(43, 50, 51)
(54, 50, 56)
(49, 50, 61)
(60, 35, 1)
(51, 35, 6)
(63, 35, 11)
(39, 35, 16)
(47, 35, 21)
(26, 35, 26)
(44, 35, 31)
(35, 35, 36)
(42, 35, 41)
(23, 35, 46)
(40, 35, 51)
(41, 35, 56)
(39, 35, 61)
(41, 35, 66)
(141, 40, 1)
(158, 40, 6)
(42, 40, 11)
(23, 40, 16)
(18, 40, 21)
(34, 40, 26)
(43, 40, 31)
(60, 40, 36)
(41, 40, 41)
(36, 40, 46)
(41, 40, 51)
(42, 40, 56)
(38, 40, 61)
(50, 40, 66)
(43, 30, 1)
(64, 30, 6)
(39, 30, 11)
(40, 30, 16)
(47, 30, 21)
(42, 30, 26)
(37, 30, 31)
(37, 30, 36)
(37, 30, 41)
(62, 30, 46)
(43, 30, 51)
(45, 30, 56)
(41, 30, 61)
(45, 30, 66)
(95, 45, 1)
(100, 45, 6)
(36, 45, 11)
(44, 45, 16)
(48, 45, 21)
(36, 45, 26)
(52, 45, 31)
(42, 45, 36)
(39, 45, 41)
(44, 45, 46)
(41, 45, 51)
(45, 45, 56)
(38, 45, 61)
(46, 45, 66)
